event_id,survey,cadence_min,years_covered,public_url
OGLE-2016-BLG-1195,OGLE+KMTNet,10,2016-2018,https://ogle.astrouw.edu.pl
OGLE-2018-BLG-0022,OGLE+KMTNet,15,2018-2020,http://kmtnet.kasi.re.kr
